,"X,Y","""Ing. Civil Telecomunicaciones""
00:1E:E5:7B:E0:BE","""Lab Sistemas Electronicos""
68:FF:7B:47:9E:A1","""Microondas""
48:F8:B3:22:4D:4B","""Convertidores Estaticos""
20:AA:4B:AE:FD:0A","""Lab ERNC""
00:90:4C:91:00:03","""CE5CFB""
98:FC:11:E2:A6:A5","""LCDA""
B0:48:7A:DE:14:8C","""Laboratorio de Redes""
48:F8:B3:22:4C:FA","""Vibraciones""
50:C7:BF:DD:C3:B3","""Lab Energia Renovable 2""
98:FC:11:54:32:53","""UdeC""
84:D4:7E:29:3E:80","""WiFi-UdeC""
84:D4:7E:29:3E:81","""eduroam""
84:D4:7E:29:3E:82","""LabSerc 2.4""
94:10:3E:86:13:20","""Sala Dise\xC3\xB1o""
0A:18:D6:CB:01:A4","""eduroam""
84:D4:7E:29:3C:E2","""AP_1612927617""
BC:54:F9:FC:7F:60","""Die231""
EC:08:6B:42:B5:4A","""Lab Energias Renovables""
F4:EC:38:D2:09:78","""linksys""
00:25:9C:98:4B:7D","""FabLab""
AC:84:C6:3E:EF:51","""Eduescob1""
68:FF:7B:1D:44:01","""Baxter""
EC:22:80:F3:EB:EA","""SalaEstudioMecanica""
80:2A:A8:D4:F3:58","""Docentes FI""
0E:18:D6:CB:01:A4"
86,"(1,0)",-61,-61,-53,-57,-73,-83,-79,-69,-73,-69,-61,-59,-63,-75,-73,-85,-69,-73,-63,-81,-73,-85,-73,-83,-73
87,"(1,0)",-59,-59,-53,-57,-73,-81,-81,-31,-61,-69,-61,-59,-63,-71,-73,-85,-69,-73,-65,-81,-73,-85,-73,-83,-73
88,"(1,0)",-61,-59,-55,-57,-73,-77,-81,-31,-73,-67,-59,-59,-61,-71,-71,-85,-69,-73,-65,-81,-73,-85,-73,-83,-73
89,"(1,0)",-59,-59,-57,-59,-71,-73,-81,-33,-73,-71,-61,-59,-61,-71,-71,-85,-71,-73,-61,-81,-73,-83,-73,-83,-75
90,"(1,0)",-57,-59,-81,-55,-69,-79,-79,-39,-77,-69,-59,-59,-63,-67,-71,-85,-69,-71,-65,-81,-73,-83,-65,-83,-75
91,"(1,0)",-59,-59,-49,-57,-71,-79,-81,-39,-73,-69,-61,-59,-61,-69,-77,-85,-69,-73,-65,-83,-75,-83,-65,-83,-75
92,"(1,0)",-63,-61,-57,-57,-71,-79,-81,-31,-73,-69,-61,-61,-63,-69,-73,-83,-71,-69,-67,-83,-75,-83,-63,-83,-75
93,"(1,0)",-59,-55,-55,-59,-71,-77,-77,-37,-73,-69,-61,-61,-73,-73,-73,-85,-73,-65,-65,-73,-73,-81,-67,-83,-75
94,"(1,0)",-55,-55,-53,-57,-71,-75,-79,-77,-71,-69,-61,-61,-73,-73,-75,-83,-73,-71,-65,-73,-73,-83,-69,-83,-75
95,"(1,0)",-63,-57,-55,-55,-71,-77,-79,-33,-73,-71,-63,-61,-61,-61,-75,-83,-59,-73,-65,-83,-75,-83,-69,-83,-87
96,"(1,0)",-63,-61,-55,-55,-73,-75,-79,-39,-73,-69,-85,-61,-63,-73,-77,-83,-73,-71,-65,-85,-73,-83,-67,-83,-81
97,"(1,0)",-63,-55,-53,-57,-73,-79,-79,-37,-73,-69,-61,-61,-63,-59,-77,-83,-73,-71,-67,-85,-71,-83,-67,-83,-67
98,"(1,0)",-61,-57,-55,-57,-67,-79,-79,-35,-71,-71,-61,-61,-61,-73,-73,-87,-71,-71,-67,-85,-69,-85,-69,-83,-67
99,"(1,0)",-61,-61,-55,-57,-69,-79,-79,-35,-71,-77,-61,-61,-61,-71,-69,-87,-73,-71,-67,-85,-75,-85,-69,-83,-73
100,"(1,0)",-61,-57,-51,-57,-69,-77,-79,-37,-73,-77,-61,-61,-61,-63,-73,-81,-71,-63,-67,-85,-73,-85,-67,-83,-73
101,"(1,0)",-61,-59,-55,-55,-69,-79,-77,-33,-73,-69,-61,-59,-63,-65,-71,-85,-71,-67,-65,-73,-75,-85,-69,-71,-75
102,"(1,0)",-61,-57,-53,-55,-61,-75,-77,-33,-71,-69,-61,-59,-61,-69,-71,-87,-71,-67,-65,-85,-75,-83,-69,-67,-75
103,"(1,0)",-61,-57,-53,-57,-69,-75,-77,-39,-73,-69,-61,-59,-61,-67,-71,-87,-73,-67,-65,-75,-73,-83,-69,-67,-77
104,"(1,0)",-63,-59,-55,-55,-69,-77,-77,-37,-71,-69,-61,-59,-61,-67,-71,-87,-67,-69,-67,-85,-75,-79,-69,-67,-77
105,"(1,0)",-61,-59,-55,-55,-73,-79,-77,-37,-73,-69,-61,-61,-63,-61,-71,-83,-75,-69,-67,-85,-77,-79,-69,-73,-77
106,"(1,0)",-63,-57,-55,-55,-73,-77,-77,-39,-73,-69,-61,-61,-63,-61,-71,-83,-75,-69,-65,-85,-73,-79,-69,-73,-75
107,"(1,0)",-63,-57,-55,-57,-73,-79,-73,-33,-73,-69,-61,-61,-63,-63,-75,-83,-69,-69,-65,-83,-75,-79,-69,-71,-75
108,"(1,0)",-63,-63,-53,-57,-71,-79,-75,-33,-71,-69,-61,-61,-63,-71,-75,-85,-73,-69,-67,-83,-73,-79,-67,-75,-73
109,"(1,0)",-59,-57,-53,-61,-69,-73,-75,-67,-71,-69,-65,-65,-65,-75,-71,-85,-73,-69,-63,-85,-73,-79,-69,-67,-75
110,"(1,0)",-61,-61,-55,-59,-75,-77,-75,-39,-69,-71,-65,-63,-63,-67,-71,-85,-67,-71,-65,-85,-75,-83,-69,-67,-75
