,"X,Y","""Lab ERNC""
00:90:4C:91:00:03","""Convertidores Estaticos""
20:AA:4B:AE:FD:0A","""Vibraciones""
50:C7:BF:DD:C3:B3","""AP_1612927617""
BC:54:F9:FC:7F:60","""Lab Energia Renovable 2""
98:FC:11:54:32:53","""Laboratorio de Redes""
48:F8:B3:22:4C:FA","""Sala Dise\xC3\xB1o""
0A:18:D6:CB:01:A4","""Docentes FI""
0E:18:D6:CB:01:A4","""Microondas""
48:F8:B3:22:4D:4B","""CE5CFB""
98:FC:11:E2:A6:A5","""Ing. Civil Telecomunicaciones""
00:1E:E5:7B:E0:BE","""Lab Sistemas Electronicos""
68:FF:7B:47:9E:A1","""Die231""
EC:08:6B:42:B5:4A","""LabSerc 2.4""
94:10:3E:86:13:20","""Lab Energias Renovables""
F4:EC:38:D2:09:78"
111,"(0,1)",-75,-69,-75,-73,-77,-52,-77,-78,-72,-79,-71,-68,-90,-79,-74
112,"(0,1)",-74,-68,-74,-73,-77,-52,-77,-78,-72,-79,-71,-68,-89,-79,-74
113,"(0,1)",-73,-68,-74,-74,-77,-52,-76,-78,-73,-79,-71,-69,-89,-79,-74
114,"(0,1)",-72,-68,-74,-74,-77,-52,-77,-78,-73,-79,-71,-68,-89,-79,-74
115,"(0,1)",-74,-68,-74,-73,-77,-52,-77,-78,-73,-79,-71,-68,-89,-79,-75
116,"(0,1)",-75,-68,-74,-74,-77,-52,-78,-77,-73,-79,-71,-67,-89,-79,-75
117,"(0,1)",-73,-68,-73,-73,-77,-52,-78,-77,-72,-79,-71,-67,-89,-79,-75
118,"(0,1)",-75,-68,-73,-73,-77,-52,-77,-77,-73,-79,-71,-68,-89,-79,-77
119,"(0,1)",-74,-68,-73,-76,-77,-52,-77,-77,-73,-79,-71,-71,-89,-79,-77
120,"(0,1)",-75,-68,-73,-75,-77,-52,-78,-78,-73,-79,-71,-71,-89,-79,-77
121,"(0,1)",-75,-68,-73,-75,-77,-52,-78,-77,-73,-79,-71,-71,-89,-79,-77
122,"(0,1)",-75,-68,-73,-74,-77,-52,-78,-77,-73,-79,-71,-70,-89,-79,-77
123,"(0,1)",-76,-68,-73,-74,-77,-52,-78,-77,-72,-81,-71,-70,-91,-79,-77
