,"X,Y","""FabLab""
AC:84:C6:3E:EF:51","""Convertidores Estaticos""
20:AA:4B:AE:FD:0A","""linksys""
00:25:9C:98:4B:7D","""Lab ERNC""
00:90:4C:91:00:03","""AP_1612927617""
BC:54:F9:FC:7F:60","""Vibraciones""
50:C7:BF:DD:C3:B3","""SalaEstudioMecanica""
80:2A:A8:D4:F3:58","""Baxter""
EC:22:80:F3:EB:EA","""Sala Dise\xC3\xB1o""
0A:18:D6:CB:01:A4","""Laboratorio de Redes""
48:F8:B3:22:4C:FA","""Docentes FI""
0E:18:D6:CB:01:A4","""Lab Energia Renovable 2""
98:FC:11:54:32:53","""Microondas""
48:F8:B3:22:4D:4B","""Lab 212""
00:23:CD:18:65:9C","""Ing. Civil Telecomunicaciones""
00:1E:E5:7B:E0:BE","""Die231""
EC:08:6B:42:B5:4A","""eduroam""
84:D4:7E:29:3E:82","""Lab Energias Renovables""
F4:EC:38:D2:09:78","""Lab Sistemas Electronicos""
68:FF:7B:47:9E:A1"
68,"(0,0)",-77,-71,-78,-73,-71,-70,-79,-74,-74,-57,-78,-71,-76,-73,-81,-79,-77,-73,-70
69,"(0,0)",-77,-71,-78,-73,-71,-70,-79,-74,-74,-56,-78,-71,-77,-73,-81,-79,-77,-72,-71
70,"(0,0)",-77,-71,-78,-73,-71,-70,-79,-75,-74,-56,-77,-71,-77,-73,-81,-79,-77,-73,-70
71,"(0,0)",-77,-71,-78,-73,-71,-70,-79,-74,-75,-56,-77,-71,-77,-73,-81,-79,-77,-73,-70
72,"(0,0)",-77,-71,-78,-73,-71,-70,-79,-73,-75,-56,-76,-71,-77,-73,-81,-79,-77,-73,-70
73,"(0,0)",-77,-71,-78,-72,-71,-70,-79,-73,-75,-56,-76,-71,-77,-73,-81,-79,-77,-74,-70
74,"(0,0)",-78,-71,-78,-72,-71,-70,-79,-73,-75,-57,-76,-71,-77,-73,-81,-79,-76,-74,-70
75,"(0,0)",-77,-71,-78,-72,-71,-70,-79,-73,-75,-56,-76,-71,-77,-73,-81,-79,-76,-74,-70
76,"(0,0)",-76,-71,-78,-72,-71,-70,-72,-74,-57,-76,-71,-77,-73,-81,-79,-77,-72,-70,-79
77,"(0,0)",-76,-71,-78,-72,-71,-69,-72,-75,-65,-76,-71,-77,-73,-81,-79,-77,-72,-69,-79
78,"(0,0)",-76,-71,-78,-72,-71,-69,-73,-75,-60,-76,-71,-77,-73,-81,-79,-77,-72,-69,-79
79,"(0,0)",-76,-71,-78,-74,-71,-70,-73,-74,-59,-76,-71,-77,-73,-81,-79,-77,-72,-69,-79
80,"(0,0)",-76,-71,-78,-73,-71,-70,-73,-74,-58,-76,-71,-76,-73,-81,-79,-77,-72,-69,-79
81,"(0,0)",-77,-71,-78,-73,-71,-70,-73,-74,-57,-75,-71,-76,-73,-81,-79,-77,-72,-69,-79
82,"(0,0)",-77,-71,-78,-74,-71,-70,-73,-74,-57,-75,-71,-76,-73,-81,-79,-77,-72,-69,-79
83,"(0,0)",-77,-71,-78,-74,-71,-70,-73,-75,-57,-75,-71,-77,-73,-81,-79,-77,-72,-69,-79
84,"(0,0)",-77,-71,-78,-74,-71,-70,-73,-75,-63,-75,-71,-76,-73,-81,-79,-76,-72,-69,-79
85,"(0,0)",-77,-71,-78,-73,-71,-70,-72,-75,-60,-75,-71,-77,-73,-81,-79,-77,-72,-79,-70
86,"(0,0)",-76,-71,-78,-73,-71,-70,-72,-75,-59,-75,-71,-77,-73,-80,-79,-77,-76,-79,-70
87,"(0,0)",-77,-71,-78,-73,-71,-70,-72,-75,-59,-75,-71,-77,-73,-80,-79,-77,-74,-79,-70
88,"(0,0)",-77,-71,-78,-73,-71,-70,-72,-75,-58,-75,-71,-77,-73,-80,-79,-77,-73,-79,-71
89,"(0,0)",-77,-71,-78,-73,-71,-70,-72,-75,-58,-75,-71,-77,-73,-80,-79,-77,-73,-79,-70
90,"(0,0)",-77,-71,-78,-73,-71,-70,-72,-75,-58,-75,-71,-77,-73,-80,-79,-77,-73,-79,-71
91,"(0,0)",-77,-71,-78,-74,-71,-72,-72,-75,-58,-75,-71,-77,-73,-80,-79,-77,-73,-79,-71
92,"(0,0)",-78,-71,-78,-73,-73,-71,-72,-76,-57,-75,-71,-77,-73,-80,-79,-76,-71,-79,-71
93,"(0,0)",-78,-71,-78,-73,-72,-70,-72,-75,-57,-75,-71,-77,-73,-80,-79,-75,-73,-79,-70
94,"(0,0)",-78,-71,-78,-73,-72,-70,-72,-75,-57,-74,-71,-77,-73,-80,-79,-74,-72,-79,-71
95,"(0,0)",-78,-71,-78,-73,-72,-70,-72,-75,-57,-74,-71,-76,-73,-80,-78,-75,-71,-79,-70
96,"(0,0)",-78,-72,-78,-74,-72,-70,-72,-74,-57,-75,-71,-77,-73,-80,-78,-74,-70,-79,-70
97,"(0,0)",-78,-72,-78,-75,-72,-70,-72,-74,-56,-76,-71,-77,-73,-80,-78,-75,-71,-79,-71
98,"(0,0)",-77,-72,-78,-75,-72,-70,-72,-74,-56,-76,-71,-77,-73,-80,-78,-75,-71,-79,-71
99,"(0,0)",-77,-72,-78,-74,-72,-70,-72,-75,-56,-77,-71,-77,-73,-80,-78,-75,-71,-79,-71
100,"(0,0)",-77,-72,-78,-74,-72,-70,-72,-75,-56,-76,-71,-77,-73,-80,-78,-75,-71,-79,-71
101,"(0,0)",-77,-72,-78,-73,-72,-70,-72,-75,-56,-75,-71,-77,-73,-80,-78,-76,-70,-79,-70
102,"(0,0)",-77,-72,-78,-74,-72,-70,-72,-74,-56,-76,-71,-77,-73,-80,-78,-77,-72,-79,-70
103,"(0,0)",-77,-72,-78,-74,-72,-70,-72,-74,-56,-76,-71,-77,-73,-80,-78,-77,-70,-79,-70
104,"(0,0)",-77,-72,-78,-74,-72,-70,-72,-74,-56,-75,-71,-77,-73,-80,-78,-77,-70,-79,-70
105,"(0,0)",-77,-72,-78,-74,-72,-70,-72,-74,-56,-75,-71,-77,-73,-80,-78,-77,-70,-79,-70
106,"(0,0)",-77,-71,-78,-74,-72,-70,-72,-73,-56,-75,-71,-77,-73,-80,-78,-77,-70,-79,-70
107,"(0,0)",-77,-71,-78,-74,-72,-70,-72,-73,-56,-76,-71,-77,-73,-80,-78,-77,-72,-79,-70
108,"(0,0)",-77,-71,-78,-75,-72,-70,-72,-74,-56,-75,-71,-77,-73,-80,-78,-77,-73,-79,-70
109,"(0,0)",-76,-71,-78,-74,-72,-70,-72,-75,-56,-74,-71,-77,-73,-79,-78,-77,-72,-79,-70
110,"(0,0)",-75,-71,-78,-74,-72,-70,-72,-75,-56,-75,-71,-77,-73,-79,-78,-77,-71,-79,-70
111,"(0,0)",-76,-71,-78,-74,-72,-71,-72,-75,-56,-75,-71,-77,-73,-79,-78,-77,-72,-79,-71
112,"(0,0)",-76,-71,-78,-73,-72,-70,-72,-74,-56,-75,-72,-77,-73,-79,-78,-77,-73,-79,-71
113,"(0,0)",-77,-71,-78,-74,-72,-70,-72,-74,-56,-75,-72,-77,-73,-79,-78,-77,-72,-79,-71
114,"(0,0)",-77,-71,-78,-74,-72,-70,-72,-73,-57,-75,-72,-77,-73,-79,-78,-77,-72,-79,-71
115,"(0,0)",-77,-71,-78,-73,-73,-75,-72,-73,-56,-75,-72,-77,-73,-79,-78,-77,-72,-79,-71
116,"(0,0)",-77,-71,-78,-73,-73,-72,-72,-73,-57,-75,-72,-77,-73,-79,-78,-77,-72,-79,-71
117,"(0,0)",-77,-71,-78,-73,-73,-71,-72,-73,-56,-74,-72,-77,-73,-79,-78,-77,-71,-79,-71
118,"(0,0)",-77,-71,-78,-73,-73,-71,-72,-74,-56,-75,-72,-77,-73,-79,-78,-77,-72,-79,-70
119,"(0,0)",-77,-71,-78,-73,-72,-71,-72,-75,-57,-76,-72,-77,-73,-79,-78,-77,-72,-79,-70
120,"(0,0)",-76,-71,-78,-73,-72,-71,-72,-74,-56,-76,-72,-77,-74,-79,-78,-76,-72,-79,-70
121,"(0,0)",-77,-71,-78,-74,-72,-71,-72,-74,-56,-76,-72,-77,-74,-79,-78,-76,-73,-79,-71
122,"(0,0)",-77,-71,-78,-73,-71,-71,-72,-74,-56,-76,-72,-77,-74,-79,-81,-77,-72,-79,-71
123,"(0,0)",-77,-71,-78,-73,-71,-71,-73,-76,-56,-75,-72,-77,-74,-79,-81,-77,-71,-79,-71
124,"(0,0)",-77,-71,-78,-73,-71,-71,-73,-76,-56,-78,-72,-77,-74,-79,-81,-77,-72,-79,-71
125,"(0,0)",-77,-71,-78,-73,-71,-70,-73,-76,-56,-78,-72,-77,-74,-79,-80,-77,-72,-79,-71
126,"(0,0)",-77,-71,-78,-73,-71,-70,-73,-76,-56,-77,-72,-77,-73,-79,-79,-77,-71,-79,-70
127,"(0,0)",-77,-71,-78,-73,-71,-70,-73,-75,-56,-77,-72,-77,-72,-79,-79,-77,-72,-79,-70
128,"(0,0)",-77,-71,-78,-73,-71,-70,-73,-75,-56,-76,-72,-77,-72,-79,-79,-77,-70,-79,-70
129,"(0,0)",-77,-71,-78,-73,-71,-70,-73,-75,-56,-75,-72,-77,-72,-79,-79,-76,-71,-79,-70
130,"(0,0)",-76,-71,-78,-73,-72,-71,-72,-75,-56,-76,-72,-77,-72,-79,-79,-76,-70,-79,-70
131,"(0,0)",-76,-71,-78,-74,-72,-71,-72,-76,-56,-75,-72,-77,-72,-79,-79,-76,-71,-79,-70
132,"(0,0)",-76,-71,-78,-73,-72,-71,-72,-75,-56,-75,-72,-77,-72,-79,-79,-76,-71,-79,-70
133,"(0,0)",-77,-71,-78,-73,-72,-71,-72,-75,-56,-76,-72,-77,-72,-79,-79,-76,-70,-79,-70
134,"(0,0)",-77,-71,-78,-73,-72,-71,-72,-74,-56,-76,-72,-77,-72,-79,-79,-77,-69,-79,-70
