16,"(0,0)",-77,-71,-78,-73,-71,-70,-79,-75,-73,-56,-74,-71,-77,-73,-79,-79,-76,-72
17,"(0,0)",-77,-71,-78,-73,-71,-70,-79,-75,-74,-56,-74,-71,-77,-73,-79,-79,-77,-71
18,"(0,0)",-77,-71,-78,-73,-71,-70,-79,-75,-75,-57,-74,-71,-77,-73,-79,-79,-76,-72
19,"(0,0)",-76,-71,-77,-73,-71,-70,-79,-75,-75,-56,-79,-71,-77,-73,-79,-79,-76,-70
20,"(0,0)",-76,-71,-77,-73,-71,-70,-79,-76,-76,-57,-76,-71,-77,-73,-79,-79,-77,-70
21,"(0,0)",-76,-71,-77,-73,-71,-70,-79,-75,-73,-56,-74,-71,-77,-73,-79,-79,-77,-72
22,"(0,0)",-77,-71,-77,-73,-71,-70,-79,-75,-74,-56,-75,-71,-77,-73,-79,-79,-76,-72
23,"(0,0)",-77,-71,-78,-73,-71,-70,-79,-74,-74,-56,-75,-71,-77,-74,-79,-79,-79,-72
24,"(0,0)",-77,-71,-78,-73,-71,-70,-79,-74,-75,-56,-75,-71,-79,-74,-79,-79,-78,-72
25,"(0,0)",-77,-71,-78,-74,-71,-69,-79,-74,-75,-56,-75,-71,-78,-74,-79,-79,-78,-73
26,"(0,0)",-76,-71,-78,-75,-71,-69,-79,-73,-74,-56,-75,-71,-78,-74,-81,-79,-78,-73
27,"(0,0)",-76,-71,-78,-75,-71,-70,-79,-74,-74,-59,-75,-71,-78,-73,-81,-79,-77,-72
28,"(0,0)",-77,-71,-78,-74,-71,-70,-79,-75,-75,-58,-75,-71,-78,-73,-81,-79,-76,-72
29,"(0,0)",-77,-71,-78,-74,-71,-70,-79,-75,-75,-57,-75,-71,-78,-73,-81,-79,-76,-72
30,"(0,0)",-77,-71,-78,-73,-71,-70,-79,-75,-74,-56,-75,-71,-78,-73,-81,-79,-76,-72
31,"(0,0)",-77,-72,-78,-73,-71,-70,-79,-75,-74,-57,-75,-71,-78,-73,-81,-82,-76,-73
32,"(0,0)",-77,-72,-78,-74,-71,-70,-79,-75,-74,-56,-75,-73,-78,-73,-81,-82,-77,-73
33,"(0,0)",-77,-72,-78,-74,-71,-70,-79,-75,-74,-57,-75,-73,-76,-73,-81,-81,-77,-74
34,"(0,0)",-76,-72,-78,-74,-71,-70,-79,-75,-74,-57,-74,-73,-76,-73,-81,-81,-77,-73
35,"(0,0)",-77,-72,-78,-73,-71,-70,-79,-75,-74,-57,-74,-73,-77,-73,-81,-80,-77,-72
36,"(0,0)",-77,-72,-78,-73,-71,-70,-79,-75,-74,-56,-74,-72,-77,-73,-81,-80,-77,-72
37,"(0,0)",-77,-72,-78,-73,-71,-70,-79,-73,-73,-56,-74,-72,-77,-76,-81,-80,-77,-72
38,"(0,0)",-77,-72,-78,-74,-71,-70,-79,-73,-73,-56,-74,-72,-77,-75,-81,-79,-77,-73
39,"(0,0)",-77,-72,-78,-73,-71,-70,-79,-73,-75,-57,-75,-72,-77,-74,-81,-79,-76,-72
40,"(0,0)",-76,-71,-78,-73,-71,-70,-79,-74,-75,-56,-76,-72,-77,-74,-81,-79,-76,-75
41,"(0,0)",-75,-71,-78,-73,-71,-70,-79,-74,-75,-56,-76,-72,-77,-74,-81,-79,-76,-76
42,"(0,0)",-76,-71,-78,-74,-71,-70,-79,-74,-76,-57,-76,-72,-77,-74,-81,-79,-75,-74
43,"(0,0)",-76,-71,-78,-74,-71,-70,-79,-73,-75,-56,-76,-72,-77,-74,-81,-79,-76,-73
44,"(0,0)",-77,-71,-79,-73,-71,-70,-79,-73,-74,-56,-76,-72,-77,-74,-81,-79,-77,-72
45,"(0,0)",-77,-71,-79,-73,-71,-70,-79,-73,-74,-56,-77,-72,-77,-74,-81,-79,-76,-71
46,"(0,0)",-77,-71,-79,-73,-71,-70,-79,-73,-74,-57,-77,-72,-77,-73,-81,-79,-76,-73
47,"(0,0)",-77,-71,-79,-74,-71,-70,-79,-72,-75,-56,-82,-72,-77,-73,-81,-79,-76,-72
48,"(0,0)",-77,-71,-79,-74,-71,-71,-79,-72,-75,-57,-81,-72,-76,-73,-81,-79,-76,-72
49,"(0,0)",-77,-71,-79,-73,-71,-70,-79,-72,-75,-56,-79,-72,-77,-73,-81,-79,-76,-72
50,"(0,0)",-77,-71,-79,-73,-71,-69,-79,-72,-75,-56,-79,-72,-77,-73,-81,-79,-77,-72
51,"(0,0)",-77,-71,-79,-72,-71,-69,-79,-72,-75,-56,-77,-72,-77,-73,-81,-79,-77,-72
52,"(0,0)",-77,-71,-79,-72,-71,-70,-79,-72,-76,-56,-76,-72,-77,-73,-81,-79,-77,-73
53,"(0,0)",-77,-71,-79,-72,-71,-70,-79,-72,-75,-56,-77,-72,-77,-73,-81,-79,-77,-73
54,"(0,0)",-76,-71,-78,-72,-71,-70,-79,-72,-74,-57,-77,-72,-77,-73,-81,-79,-77,-73
55,"(0,0)",-77,-71,-78,-72,-71,-70,-79,-72,-74,-56,-76,-72,-77,-73,-81,-79,-77,-73
56,"(0,0)",-77,-71,-78,-72,-71,-69,-79,-72,-74,-57,-75,-72,-77,-73,-81,-79,-77,-74
57,"(0,0)",-77,-71,-78,-72,-71,-69,-79,-72,-75,-56,-75,-72,-77,-73,-81,-79,-77,-76
58,"(0,0)",-77,-71,-78,-72,-71,-70,-79,-75,-75,-56,-75,-72,-77,-73,-81,-79,-77,-75
59,"(0,0)",-77,-71,-78,-72,-71,-70,-79,-74,-76,-56,-75,-72,-77,-73,-81,-79,-77,-74
60,"(0,0)",-76,-71,-78,-72,-71,-70,-79,-74,-76,-56,-76,-72,-77,-73,-81,-79,-77,-74
61,"(0,0)",-77,-71,-78,-72,-71,-70,-79,-74,-75,-56,-75,-72,-77,-73,-81,-79,-77,-75
62,"(0,0)",-77,-71,-78,-73,-71,-70,-79,-74,-75,-57,-75,-72,-77,-73,-81,-79,-77,-74
63,"(0,0)",-77,-71,-78,-73,-71,-70,-79,-74,-75,-57,-75,-72,-77,-73,-81,-79,-77,-73
64,"(0,0)",-77,-71,-78,-73,-71,-70,-79,-73,-75,-57,-75,-72,-77,-73,-81,-79,-77,-72
65,"(0,0)",-77,-71,-78,-73,-71,-70,-79,-74,-73,-57,-75,-72,-77,-73,-81,-79,-77,-70
66,"(0,0)",-77,-71,-78,-73,-71,-70,-79,-74,-74,-57,-78,-72,-77,-73,-81,-79,-77,-70
67,"(0,0)",-77,-71,-78,-73,-71,-70,-79,-74,-75,-57,-80,-71,-77,-73,-81,-79,-77,-70
68,"(0,0)",-77,-71,-78,-73,-71,-70,-79,-74,-74,-57,-78,-71,-76,-73,-81,-79,-77,-73
69,"(0,0)",-77,-71,-78,-73,-71,-70,-79,-74,-74,-56,-78,-71,-77,-73,-81,-79,-77,-72
70,"(0,0)",-77,-71,-78,-73,-71,-70,-79,-75,-74,-56,-77,-71,-77,-73,-81,-79,-77,-73
71,"(0,0)",-77,-71,-78,-73,-71,-70,-79,-74,-75,-56,-77,-71,-77,-73,-81,-79,-77,-73
72,"(0,0)",-77,-71,-78,-73,-71,-70,-79,-73,-75,-56,-76,-71,-77,-73,-81,-79,-77,-73
73,"(0,0)",-77,-71,-78,-72,-71,-70,-79,-73,-75,-56,-76,-71,-77,-73,-81,-79,-77,-74
74,"(0,0)",-78,-71,-78,-72,-71,-70,-79,-73,-75,-57,-76,-71,-77,-73,-81,-79,-76,-74
75,"(0,0)",-77,-71,-78,-72,-71,-70,-79,-73,-75,-56,-76,-71,-77,-73,-81,-79,-76,-74
76,"(0,0)",-76,-71,-78,-72,-71,-70,-72,-74,-57,-76,-71,-77,-73,-81,-79,-77,-72,-70
77,"(0,0)",-76,-71,-78,-72,-71,-69,-72,-75,-65,-76,-71,-77,-73,-81,-79,-77,-72,-69
78,"(0,0)",-76,-71,-78,-72,-71,-69,-73,-75,-60,-76,-71,-77,-73,-81,-79,-77,-72,-69
79,"(0,0)",-76,-71,-78,-74,-71,-70,-73,-74,-59,-76,-71,-77,-73,-81,-79,-77,-72,-69
80,"(0,0)",-76,-71,-78,-73,-71,-70,-73,-74,-58,-76,-71,-76,-73,-81,-79,-77,-72,-69
81,"(0,0)",-77,-71,-78,-73,-71,-70,-73,-74,-57,-75,-71,-76,-73,-81,-79,-77,-72,-69
82,"(0,0)",-77,-71,-78,-74,-71,-70,-73,-74,-57,-75,-71,-76,-73,-81,-79,-77,-72,-69
83,"(0,0)",-77,-71,-78,-74,-71,-70,-73,-75,-57,-75,-71,-77,-73,-81,-79,-77,-72,-69
84,"(0,0)",-77,-71,-78,-74,-71,-70,-73,-75,-63,-75,-71,-76,-73,-81,-79,-76,-72,-69
85,"(0,0)",-77,-71,-78,-73,-71,-70,-72,-75,-60,-75,-71,-77,-73,-81,-79,-77,-72,-79
86,"(0,0)",-76,-71,-78,-73,-71,-70,-72,-75,-59,-75,-71,-77,-73,-80,-79,-77,-76,-79
87,"(0,0)",-77,-71,-78,-73,-71,-70,-72,-75,-59,-75,-71,-77,-73,-80,-79,-77,-74,-79
88,"(0,0)",-77,-71,-78,-73,-71,-70,-72,-75,-58,-75,-71,-77,-73,-80,-79,-77,-73,-79
89,"(0,0)",-77,-71,-78,-73,-71,-70,-72,-75,-58,-75,-71,-77,-73,-80,-79,-77,-73,-79
90,"(0,0)",-77,-71,-78,-73,-71,-70,-72,-75,-58,-75,-71,-77,-73,-80,-79,-77,-73,-79
91,"(0,0)",-77,-71,-78,-74,-71,-72,-72,-75,-58,-75,-71,-77,-73,-80,-79,-77,-73,-79
92,"(0,0)",-78,-71,-78,-73,-73,-71,-72,-76,-57,-75,-71,-77,-73,-80,-79,-76,-71,-79
93,"(0,0)",-78,-71,-78,-73,-72,-70,-72,-75,-57,-75,-71,-77,-73,-80,-79,-75,-73,-79
94,"(0,0)",-78,-71,-78,-73,-72,-70,-72,-75,-57,-74,-71,-77,-73,-80,-79,-74,-72,-79
95,"(0,0)",-78,-71,-78,-73,-72,-70,-72,-75,-57,-74,-71,-76,-73,-80,-78,-75,-71,-79
96,"(0,0)",-78,-72,-78,-74,-72,-70,-72,-74,-57,-75,-71,-77,-73,-80,-78,-74,-70,-79
97,"(0,0)",-78,-72,-78,-75,-72,-70,-72,-74,-56,-76,-71,-77,-73,-80,-78,-75,-71,-79
98,"(0,0)",-77,-72,-78,-75,-72,-70,-72,-74,-56,-76,-71,-77,-73,-80,-78,-75,-71,-79
99,"(0,0)",-77,-72,-78,-74,-72,-70,-72,-75,-56,-77,-71,-77,-73,-80,-78,-75,-71,-79
1,"(0,1)",-76,-69,-74,-73,-77,-50,-78,-78,-74,-78,-73,-69,-88,-78
0,"(0,1)",-76,-69,-75,-72,-77,-50,-78,-77,-72,-78,-73,-67,-88,-78
1,"(0,1)",-76,-69,-74,-73,-77,-50,-78,-78,-74,-78,-73,-69,-88,-78
2,"(0,1)",-77,-68,-74,-73,-77,-50,-78,-77,-74,-78,-73,-70,-89,-78
3,"(0,1)",-77,-68,-74,-73,-77,-50,-77,-77,-73,-78,-73,-71,-89,-78
4,"(0,1)",-77,-68,-74,-73,-77,-50,-77,-78,-73,-78,-73,-71,-89,-78
5,"(0,1)",-77,-68,-74,-73,-77,-50,-77,-78,-73,-78,-73,-70,-89,-78
6,"(0,1)",-77,-68,-74,-74,-77,-50,-77,-78,-73,-78,-73,-69,-89,-78
7,"(0,1)",-77,-68,-74,-74,-77,-50,-77,-78,-72,-78,-73,-70,-89,-78
8,"(0,1)",-77,-68,-74,-73,-77,-50,-77,-78,-72,-79,-73,-70,-89,-78
9,"(0,1)",-76,-68,-74,-74,-77,-50,-77,-78,-72,-79,-72,-69,-89,-78
10,"(0,1)",-76,-68,-75,-74,-77,-50,-77,-78,-72,-79,-72,-69,-90,-78
11,"(0,1)",-77,-68,-74,-75,-77,-50,-77,-78,-73,-79,-72,-68,-90,-78
12,"(0,1)",-77,-68,-74,-75,-77,-50,-77,-78,-73,-79,-72,-68,-90,-78
13,"(0,1)",-77,-68,-74,-74,-77,-50,-77,-78,-73,-79,-72,-68,-90,-78
14,"(0,1)",-76,-68,-74,-74,-77,-50,-77,-78,-73,-79,-72,-69,-90,-78
15,"(0,1)",-77,-68,-73,-74,-77,-50,-77,-78,-73,-79,-72,-69,-90,-78
16,"(0,1)",-77,-68,-74,-74,-77,-50,-77,-77,-72,-79,-72,-72,-90,-78
17,"(0,1)",-77,-69,-73,-73,-77,-50,-77,-77,-72,-79,-72,-72,-90,-78
18,"(0,1)",-77,-69,-74,-72,-77,-50,-77,-77,-72,-79,-72,-72,-90,-78
19,"(0,1)",-76,-69,-74,-73,-77,-50,-77,-77,-72,-79,-72,-72,-90,-78
20,"(0,1)",-76,-69,-74,-73,-77,-50,-77,-77,-72,-79,-72,-71,-90,-78
21,"(0,1)",-76,-69,-74,-73,-77,-50,-77,-77,-72,-79,-72,-70,-90,-78
22,"(0,1)",-75,-69,-74,-74,-77,-50,-77,-77,-72,-79,-72,-69,-90,-78
23,"(0,1)",-76,-69,-74,-74,-77,-58,-77,-77,-72,-79,-72,-70,-90,-78
24,"(0,1)",-75,-69,-74,-75,-77,-56,-77,-77,-72,-79,-72,-68,-90,-78
25,"(0,1)",-73,-69,-74,-75,-77,-56,-78,-78,-72,-79,-72,-68,-90,-78
26,"(0,1)",-73,-69,-74,-74,-77,-55,-78,-78,-72,-79,-72,-68,-90,-78
27,"(0,1)",-75,-69,-74,-75,-77,-54,-78,-78,-72,-79,-72,-68,-90,-78
28,"(0,1)",-76,-69,-74,-74,-77,-53,-78,-78,-72,-79,-72,-70,-90,-78
29,"(0,1)",-76,-68,-73,-74,-77,-52,-78,-78,-72,-79,-72,-71,-90,-78
30,"(0,1)",-77,-68,-73,-74,-77,-52,-78,-78,-72,-79,-72,-70,-90,-78
31,"(0,1)",-77,-69,-74,-74,-77,-53,-78,-78,-73,-79,-72,-69,-90,-78
32,"(0,1)",-77,-69,-74,-74,-77,-52,-78,-78,-74,-79,-72,-70,-89,-78
33,"(0,1)",-77,-69,-74,-74,-77,-52,-78,-78,-73,-79,-72,-70,-89,-78
34,"(0,1)",-77,-69,-74,-74,-77,-52,-78,-78,-74,-79,-72,-70,-89,-78
35,"(0,1)",-77,-69,-74,-74,-77,-52,-78,-78,-73,-79,-72,-69,-89,-78
36,"(0,1)",-76,-69,-75,-74,-77,-52,-78,-78,-73,-79,-72,-70,-89,-78
37,"(0,1)",-75,-69,-74,-74,-77,-52,-78,-78,-74,-79,-71,-69,-89,-78
38,"(0,1)",-75,-69,-74,-74,-77,-52,-78,-78,-75,-79,-71,-68,-89,-78
39,"(0,1)",-76,-69,-74,-74,-77,-52,-78,-78,-74,-79,-71,-73,-89,-78
40,"(0,1)",-76,-69,-74,-74,-77,-52,-78,-78,-73,-79,-71,-73,-89,-78
41,"(0,1)",-76,-69,-74,-73,-77,-52,-78,-78,-73,-79,-71,-71,-89,-78
42,"(0,1)",-77,-69,-74,-73,-77,-52,-78,-78,-74,-79,-71,-70,-89,-78
43,"(0,1)",-76,-69,-74,-74,-77,-52,-78,-78,-73,-79,-71,-69,-89,-78
44,"(0,1)",-77,-69,-74,-74,-77,-52,-78,-78,-73,-79,-71,-70,-89,-78
45,"(0,1)",-77,-69,-74,-74,-77,-52,-78,-78,-72,-79,-71,-69,-89,-78
46,"(0,1)",-77,-69,-74,-74,-77,-52,-78,-78,-74,-79,-71,-68,-89,-78
47,"(0,1)",-77,-69,-75,-73,-77,-52,-78,-78,-74,-79,-71,-70,-89,-78
48,"(0,1)",-77,-69,-74,-74,-77,-52,-78,-78,-73,-79,-71,-70,-89,-78
49,"(0,1)",-77,-69,-74,-75,-77,-52,-78,-78,-73,-79,-71,-69,-89,-78
50,"(0,1)",-77,-69,-74,-74,-77,-52,-77,-78,-73,-79,-71,-68,-89,-78
51,"(0,1)",-77,-69,-74,-74,-77,-52,-78,-78,-73,-79,-71,-69,-89,-78
52,"(0,1)",-77,-69,-74,-74,-77,-52,-78,-78,-73,-79,-71,-69,-87,-78
53,"(0,1)",-78,-69,-74,-74,-77,-52,-78,-78,-73,-79,-71,-69,-87,-78
54,"(0,1)",-78,-69,-74,-74,-77,-52,-78,-78,-73,-79,-71,-70,-88,-78
55,"(0,1)",-76,-69,-74,-74,-77,-52,-78,-78,-73,-79,-71,-69,-88,-78
56,"(0,1)",-76,-69,-74,-74,-77,-52,-78,-78,-72,-79,-71,-71,-88,-78
57,"(0,1)",-76,-69,-74,-74,-77,-52,-78,-78,-72,-79,-71,-69,-88,-78
58,"(0,1)",-77,-69,-74,-75,-77,-52,-78,-78,-74,-79,-71,-70,-89,-78
59,"(0,1)",-77,-69,-75,-74,-77,-52,-78,-78,-73,-79,-71,-68,-88,-79
60,"(0,1)",-77,-69,-74,-74,-77,-52,-78,-78,-72,-79,-71,-68,-88,-79
61,"(0,1)",-77,-69,-75,-74,-78,-52,-78,-78,-72,-79,-71,-67,-88,-79
62,"(0,1)",-76,-69,-74,-74,-78,-52,-78,-78,-72,-79,-72,-68,-88,-79
63,"(0,1)",-76,-69,-74,-74,-78,-52,-77,-78,-72,-79,-72,-69,-89,-79
64,"(0,1)",-76,-69,-74,-75,-78,-52,-77,-78,-72,-79,-72,-69,-89,-79
65,"(0,1)",-76,-69,-74,-75,-78,-52,-77,-78,-73,-79,-72,-68,-90,-79
66,"(0,1)",-77,-69,-74,-74,-78,-52,-78,-78,-73,-79,-72,-69,-89,-79
67,"(0,1)",-77,-69,-74,-75,-78,-52,-78,-78,-73,-79,-72,-68,-89,-79
68,"(0,1)",-77,-69,-74,-74,-78,-52,-78,-78,-72,-79,-74,-68,-89,-79
69,"(0,1)",-76,-69,-74,-74,-78,-52,-78,-78,-72,-79,-74,-69,-89,-79
70,"(0,1)",-76,-69,-74,-74,-78,-52,-78,-78,-72,-79,-75,-69,-91,-79
71,"(0,1)",-76,-68,-75,-75,-78,-52,-78,-78,-72,-79,-74,-71,-91,-79
72,"(0,1)",-76,-68,-75,-75,-78,-52,-78,-78,-72,-79,-73,-69,-91,-79
73,"(0,1)",-76,-68,-75,-74,-78,-52,-78,-78,-72,-79,-73,-69,-91,-79
74,"(0,1)",-76,-68,-75,-74,-78,-52,-78,-78,-72,-79,-72,-69,-91,-79
75,"(0,1)",-76,-68,-74,-74,-78,-52,-78,-78,-72,-79,-72,-69,-91,-79
76,"(0,1)",-76,-68,-74,-73,-78,-52,-78,-78,-72,-79,-72,-69,-91,-79
77,"(0,1)",-76,-68,-74,-73,-78,-52,-78,-78,-72,-79,-72,-68,-91,-79
78,"(0,1)",-76,-68,-74,-73,-78,-52,-78,-78,-72,-79,-72,-68,-91,-79
79,"(0,1)",-76,-68,-74,-73,-78,-52,-77,-78,-72,-79,-72,-69,-91,-79
80,"(0,1)",-76,-68,-74,-73,-78,-52,-78,-78,-72,-79,-72,-69,-91,-79
81,"(0,1)",-77,-68,-74,-74,-78,-52,-78,-78,-72,-79,-72,-69,-91,-79
82,"(0,1)",-77,-68,-74,-74,-78,-52,-78,-78,-72,-79,-72,-69,-91,-79
83,"(0,1)",-77,-68,-74,-74,-78,-52,-78,-78,-72,-79,-72,-68,-91,-79
84,"(0,1)",-77,-68,-75,-73,-78,-52,-78,-78,-72,-79,-72,-69,-90,-79
85,"(0,1)",-77,-68,-74,-74,-78,-52,-78,-78,-72,-79,-72,-70,-88,-79
86,"(0,1)",-77,-68,-74,-73,-78,-52,-78,-78,-72,-79,-72,-70,-89,-79
87,"(0,1)",-77,-68,-76,-73,-78,-52,-78,-78,-72,-79,-72,-69,-89,-79
88,"(0,1)",-77,-68,-75,-74,-78,-52,-78,-78,-72,-79,-72,-70,-89,-79
89,"(0,1)",-77,-68,-74,-74,-78,-52,-78,-78,-72,-79,-72,-69,-90,-79
90,"(0,1)",-77,-68,-74,-75,-78,-52,-77,-78,-72,-79,-72,-70,-90,-79
91,"(0,1)",-77,-68,-74,-75,-78,-52,-76,-78,-72,-79,-72,-70,-90,-79
92,"(0,1)",-77,-69,-74,-75,-78,-52,-76,-78,-72,-79,-72,-70,-90,-79
93,"(0,1)",-77,-69,-74,-75,-78,-52,-77,-78,-72,-79,-72,-70,-91,-79
94,"(0,1)",-77,-69,-74,-75,-78,-53,-77,-82,-73,-79,-72,-70,-91,-79
95,"(0,1)",-77,-69,-74,-75,-78,-52,-77,-80,-73,-79,-72,-70,-91,-79
96,"(0,1)",-77,-69,-74,-75,-78,-52,-77,-80,-73,-79,-72,-70,-91,-79
97,"(0,1)",-76,-69,-74,-75,-78,-52,-78,-79,-73,-79,-72,-70,-91,-79
98,"(0,1)",-77,-69,-74,-76,-76,-52,-78,-79,-73,-79,-71,-72,-91,-79
99,"(0,1)",-77,-69,-74,-76,-77,-52,-78,-79,-73,-79,-71,-72,-91,-79
1,"(0,2)",-65,-77,-77,-71,-70,-70,-77,-53,-74,-77,-78,-76,-78,-85,-73
0,"(0,2)",-65,-77,-77,-71,-70,-70,-77,-54,-74,-78,-79,-75,-78,-86,-72
1,"(0,2)",-65,-77,-77,-71,-70,-70,-77,-53,-74,-77,-78,-76,-78,-85,-73
2,"(0,2)",-65,-77,-77,-71,-70,-70,-77,-52,-73,-77,-78,-75,-78,-85,-72
3,"(0,2)",-65,-77,-77,-71,-70,-70,-77,-52,-73,-77,-78,-76,-78,-83,-71
4,"(0,2)",-65,-77,-77,-71,-70,-70,-77,-52,-74,-79,-77,-77,-78,-82,-71
5,"(0,2)",-65,-77,-77,-71,-70,-70,-77,-52,-74,-79,-77,-77,-78,-82,-71
6,"(0,2)",-65,-77,-77,-71,-70,-70,-77,-52,-74,-78,-77,-77,-78,-81,-71
7,"(0,2)",-65,-77,-77,-71,-71,-70,-77,-52,-75,-77,-77,-76,-78,-81,-71
8,"(0,2)",-65,-77,-77,-71,-71,-70,-77,-52,-74,-77,-77,-76,-78,-81,-71
9,"(0,2)",-65,-77,-77,-71,-71,-70,-77,-52,-73,-77,-77,-75,-78,-81,-71
10,"(0,2)",-65,-77,-77,-70,-74,-70,-77,-52,-73,-78,-77,-75,-78,-81,-71
11,"(0,2)",-65,-77,-77,-70,-73,-70,-77,-52,-73,-78,-77,-76,-78,-81,-71
12,"(0,2)",-65,-77,-77,-70,-73,-70,-77,-52,-73,-78,-77,-76,-78,-81,-70
13,"(0,2)",-65,-78,-77,-70,-72,-70,-77,-52,-73,-76,-77,-77,-78,-81,-70
14,"(0,2)",-65,-78,-77,-71,-72,-70,-77,-52,-73,-77,-77,-77,-78,-81,-70
15,"(0,2)",-65,-78,-77,-71,-72,-70,-77,-52,-74,-77,-77,-77,-78,-81,-70
16,"(0,2)",-65,-78,-77,-71,-72,-70,-77,-52,-75,-77,-77,-77,-78,-84,-70
17,"(0,2)",-65,-78,-77,-71,-72,-70,-77,-52,-74,-78,-77,-77,-78,-83,-70
18,"(0,2)",-65,-78,-77,-71,-72,-70,-77,-52,-75,-78,-76,-77,-78,-83,-70
19,"(0,2)",-65,-78,-77,-70,-72,-70,-77,-52,-75,-78,-77,-77,-78,-82,-70
20,"(0,2)",-65,-78,-77,-70,-72,-70,-77,-52,-74,-78,-75,-77,-78,-82,-70
21,"(0,2)",-65,-78,-77,-72,-72,-70,-77,-52,-74,-78,-76,-77,-78,-81,-70
22,"(0,2)",-65,-78,-77,-72,-72,-70,-77,-52,-73,-77,-77,-77,-78,-81,-70
23,"(0,2)",-65,-78,-77,-72,-72,-70,-77,-52,-74,-77,-77,-77,-78,-81,-70
24,"(0,2)",-65,-78,-77,-72,-72,-70,-77,-55,-74,-76,-77,-76,-78,-81,-70
25,"(0,2)",-65,-78,-77,-72,-71,-70,-77,-59,-73,-77,-77,-75,-78,-81,-70
26,"(0,2)",-65,-78,-77,-72,-71,-70,-77,-55,-73,-78,-77,-79,-78,-81,-70
27,"(0,2)",-65,-78,-78,-72,-71,-70,-77,-53,-74,-78,-77,-79,-78,-81,-70
28,"(0,2)",-65,-78,-78,-72,-72,-70,-77,-53,-73,-78,-77,-78,-78,-81,-70
29,"(0,2)",-65,-78,-78,-72,-71,-70,-77,-52,-73,-78,-77,-76,-78,-81,-70
30,"(0,2)",-65,-78,-78,-72,-71,-70,-77,-52,-74,-78,-76,-76,-78,-81,-70
31,"(0,2)",-65,-78,-78,-72,-71,-70,-77,-52,-74,-78,-77,-76,-78,-81,-70
32,"(0,2)",-65,-78,-78,-72,-71,-70,-77,-52,-74,-78,-76,-76,-78,-81,-70
33,"(0,2)",-65,-78,-78,-71,-71,-70,-77,-52,-74,-78,-76,-77,-78,-81,-70
34,"(0,2)",-65,-78,-78,-71,-71,-70,-77,-52,-74,-77,-76,-77,-78,-80,-70
35,"(0,2)",-65,-78,-78,-71,-71,-70,-75,-52,-74,-77,-76,-77,-78,-80,-70
36,"(0,2)",-65,-78,-78,-71,-71,-70,-76,-52,-74,-76,-75,-76,-78,-80,-70
