"""DIE""
-46,-60,-76,-68,-75,-85,-69,-76,-75,-71,-71,-71,-80,-73,-84,-71,-71,-91,-89,-74,-80,-90,-90,-84,-90

"""DIE""
00:02:6F:E5:B6:5A","""Lab Sep""
C0:A0:BB:19:CF:50","""Sistemas Paralelos""
C8:D7:19:DC:7D:C7","""Dinamica de suelos""
CC:2D:E0:7A:79:AB","""Las imagenes""
00:1A:70:5D:E6:E8","""eduroam""
84:D4:7E:28:AA:E2","""DIRECT-17-HP M130f LaserJet""
FA:DA:0C:83:7D:17","""VLSI_2.4GHz""
E8:DE:27:6D:4A:E7","""UdeC""
84:D4:7E:28:AA:F0","""WiFi-UdeC""
84:D4:7E:28:AA:F1","""eduroam""
84:D4:7E:28:AA:F2","""Optronica_5G""
34:CE:00:49:5C:50","""VLSI_5GHz""
E8:DE:27:6D:4A:E8","""""
4A:D9:E7:21:02:35","""UdeC""
84:D4:7E:28:AA:E0","""WiFi-UdeC""
84:D4:7E:28:AA:E1","""DIE""
00:18:F8:32:A0:BD","""oficinahistoria""
78:32:1B:CD:D0:D4","""SP&R""
20:AA:4B:54:DF:AD","""OpenWrt""
10:FE:ED:C0:6D:C0","""Lab. R. Wallace""
AC:84:C6:53:D5:BB","""Lab Hormigon""
00:11:6B:50:FF:86","""Sala-Teaching""
4E:D9:E7:21:02:35"
-45,-55,-79,-63,-75,-67,-83,-86,-63,-63,-63,-85,-77,-87,-71,-74,-87,-72,-83,-84,-88,-83,-89,-81
-44,-59,-76,-64,-75,-71,-75,-75,-70,-70,-69,-83,-74,-86,-74,-89,-72,-83,-81,-89,-81,-89
-45,-61,-77,-66,-74,-69,-76,-80,-67,-67,-67,-82,-74,-87,-74,-89,-75,-85,-83,-89,-81,-89,-87
-44,-61,-76,-66,-74,-71,-74,-79,-66,-66,-67,-79,-74,-84,-73,-91,-75,-85,-82,-87,-89,-88,-85,-72
-46,-61,-76,-66,-77,-68,-78,-83,-70,-70,-69,-78,-74,-84,-70,-90,-75,-85,-81,-87,-89,-89,-85,-70,-86,-82,-90,-92
-44,-62,-76,-68,-78,-69,-78,-82,-67,-68,-68,-81,-73,-84,-72,-87,-72,-85,-81,-87,-88,-85,-72,-85,-82,-90,-89,-89,-89,-76
-45,-64,-92,-65,-77,-69,-78,-84,-66,-66,-66,-80,-74,-84,-72,-88,-74,-81,-86,-72,-85,-83,-90,-89,-89,-89,-76
-44,-61,-76,-67,-77,-69,-75,-83,-70,-70,-71,-79,-74,-87,-72,-88,-77,-81,-86,-72,-85,-83,-89,-89,-89,-76,-89
"""DIE""
00:02:6F:E5:B6:5A","""Lab Sep""
C0:A0:BB:19:CF:50","""Sistemas Paralelos""
C8:D7:19:DC:7D:C7","""Dinamica de suelos""
CC:2D:E0:7A:79:AB","""Las imagenes""
00:1A:70:5D:E6:E8","""eduroam""
84:D4:7E:28:AA:E2","""DIRECT-17-HP M130f LaserJet""
FA:DA:0C:83:7D:17","""VLSI_2.4GHz""
E8:DE:27:6D:4A:E7","""UdeC""
84:D4:7E:28:AA:F0","""WiFi-UdeC""
